domain,metrics,0_transfer_consis,1_transfer_consis,2_transfer_consis,3_transfer_consis,4_transfer_consis,summary_transfer_consis
Source,Accuracy,0.8324432065009072,0.8324432065009072,0.8324432065009072,0.8324432065009072,0.8324432065009072,0.8324±0.0000
Source,AUC,0.8264892135342808,0.8264892135342808,0.8264892135342808,0.8264892135342808,0.8264892135342808,0.8265±0.0000
Source,TE,0.1838480830192566,0.1783484667539596,0.1847929060459137,0.1861725449562072,0.1863550096750259,0.1824±0.0040
Source,CFD,0.224593054455319,0.203894411366366,0.2137071014233511,0.2320292336391281,0.224874147139243,0.2180±0.0141
Source,CLP,0.0645339637994766,0.0594996586441993,0.0648007318377494,0.0673720836639404,0.0670846477150917,0.0634±0.0039
Target,Accuracy,0.7786647048004414,0.7786647048004414,0.7786647048004414,0.7786647048004414,0.7786647048004414,0.7787±0.0000
Target,AUC,0.7706219212601332,0.7706219212601332,0.7706219212601332,0.7706219212601332,0.7706219212601332,0.7706±0.0000
Target,TE,0.1752686649560928,0.1731892973184585,0.1759067177772522,0.1787755787372589,0.1770104467868805,0.1760±0.0028
Target,CFD,0.2221077800257495,0.209858377781865,0.2172153761265403,0.2301269082214456,0.2256023542394703,0.2200±0.0101
Target,CLP,0.0581786334514617,0.0549218691885471,0.05814890563488,0.0610761083662509,0.0598291233181953,0.0580±0.0031
