,sex,LSAT,UGPA,ZFYA,first_pf,White
0,0,0.7567567567567568,0.738095238095238,0,1.0,1
1,0,0.6756756756756757,0.7142857142857142,0,1.0,1
2,1,0.5135135135135136,0.738095238095238,0,1.0,1
5,1,0.7567567567567568,0.5238095238095238,1,1.0,0
6,0,0.7027027027027026,0.8095238095238094,0,1.0,1
7,0,0.527027027027027,0.8571428571428571,1,1.0,1
8,1,0.6756756756756757,0.8571428571428571,0,1.0,1
9,1,0.7027027027027026,0.6428571428571429,0,0.0,1
13,0,0.7027027027027026,0.6190476190476191,1,1.0,1
14,1,0.5405405405405406,0.8571428571428571,1,1.0,1
16,1,0.8108108108108107,0.7619047619047619,1,1.0,1
17,1,0.6486486486486487,0.738095238095238,0,1.0,1
19,0,0.6486486486486487,0.7619047619047619,0,1.0,1
21,1,0.6486486486486487,0.6904761904761905,0,1.0,1
22,1,0.8108108108108107,0.5476190476190476,0,1.0,1
23,1,0.527027027027027,0.7857142857142856,1,1.0,1
24,0,0.6756756756756757,0.7142857142857142,0,1.0,1
25,1,0.7837837837837838,0.9285714285714285,1,1.0,1
26,1,0.6756756756756757,0.8095238095238094,1,1.0,1
27,1,0.48648648648648646,0.6428571428571429,1,1.0,1
28,1,0.7027027027027026,0.7619047619047619,1,1.0,1
29,1,0.5135135135135136,0.738095238095238,1,1.0,1
30,1,0.7837837837837838,0.738095238095238,0,1.0,1
31,1,0.5405405405405406,0.738095238095238,1,1.0,0
32,0,0.7027027027027026,0.8571428571428571,1,1.0,1
33,1,0.48648648648648646,0.6666666666666666,0,1.0,0
35,1,0.6216216216216217,0.6666666666666666,0,1.0,1
37,1,0.6486486486486487,0.7142857142857142,0,1.0,1
38,1,0.7837837837837838,0.8095238095238094,0,1.0,1
39,1,0.6756756756756757,0.6190476190476191,0,1.0,1
40,1,0.48648648648648646,0.6904761904761905,0,1.0,1
41,1,0.6486486486486487,0.5952380952380952,0,1.0,1
43,1,0.5675675675675675,0.8095238095238094,1,1.0,1
44,0,0.6756756756756757,0.6428571428571429,0,1.0,1
46,1,0.6756756756756757,0.7857142857142856,1,1.0,1
47,1,0.6756756756756757,0.5952380952380952,0,0.0,1
49,1,0.7297297297297298,0.8571428571428571,1,1.0,1
50,1,0.6756756756756757,0.8571428571428571,1,1.0,1
51,1,0.5810810810810811,0.7619047619047619,1,1.0,1
52,0,0.4324324324324325,0.8333333333333333,0,0.0,1
53,1,0.6756756756756757,0.5714285714285714,1,1.0,1
56,0,0.21621621621621628,0.7619047619047619,0,0.0,0
57,0,0.6216216216216217,0.8809523809523809,1,1.0,1
58,0,0.6486486486486487,0.738095238095238,1,1.0,1
59,0,0.5405405405405406,0.7619047619047619,0,1.0,0
60,1,0.6756756756756757,0.6666666666666666,0,1.0,1
61,1,0.5675675675675675,0.7142857142857142,0,1.0,0
63,0,0.7297297297297298,0.8809523809523809,0,1.0,1
64,1,0.6216216216216217,0.7619047619047619,1,1.0,1
65,1,0.7297297297297298,0.6666666666666666,1,1.0,1
66,0,0.6756756756756757,0.8095238095238094,1,1.0,1
67,0,0.8378378378378377,0.8333333333333333,0,1.0,1
