,sex,LSAT,UGPA,ZFYA,first_pf,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
0,1.0,0.4089971820758942,-0.305643445784742,-0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,-0.141811865426216,-0.5470890258860769,0.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,-1.2434299604304364,-0.305643445784742,-0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.4089971820758942,-2.4786536666967542,0.58,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,1.0,0.04179115040782076,0.4186932945192616,-1.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,1.0,-1.151628452513418,0.9015844547219315,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,-0.141811865426216,0.9015844547219315,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0.0,0.04179115040782076,-1.2714257661900805,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,1.0,0.04179115040782076,-1.5128713462914154,1.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0.0,-1.0598269445963997,0.9015844547219315,0.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,0.0,0.7762032137439676,-0.0641978656834071,1.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,0.0,-0.3254148812602527,-0.305643445784742,-0.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,1.0,-0.3254148812602527,-0.0641978656834071,-0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,0.0,-0.3254148812602527,-0.7885346059874118,-0.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,0.0,0.7762032137439676,-2.2372080865954205,-0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,0.0,-1.151628452513418,0.17724771441792675,0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,1.0,-0.141811865426216,-0.5470890258860769,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,0.0,0.5926001979099309,1.6259211950259351,2.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,0.0,-0.141811865426216,0.4186932945192616,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0.0,-1.4270329762644731,-1.2714257661900805,0.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0.0,0.04179115040782076,-0.0641978656834071,0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0.0,-1.2434299604304364,-0.305643445784742,1.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0.0,0.5926001979099309,-0.305643445784742,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,0.0,-1.0598269445963997,-0.305643445784742,0.51,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.0,0.04179115040782076,0.9015844547219315,0.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,0.0,-1.4270329762644731,-1.0299801860887468,-1.03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,0.0,-0.5090178970942896,-1.0299801860887468,-0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,0.0,-0.3254148812602527,-0.5470890258860769,-0.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,0.0,0.5926001979099309,0.4186932945192616,-0.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,0.0,-0.141811865426216,-1.5128713462914154,-0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,0.0,-1.4270329762644731,-0.7885346059874118,-0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0.0,-0.3254148812602527,-1.7543169263927503,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,0.0,-0.8762239287623629,0.4186932945192616,0.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,1.0,-0.141811865426216,-1.2714257661900805,-0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
