,age,sex,race,juv_misd_count,juv_fel_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
0,69,1,0,0,0,0,0,1,0
1,34,1,0,0,0,0,0,1,1
2,24,1,0,0,0,1,4,1,1
3,23,1,0,1,0,0,1,1,0
4,43,1,0,0,0,0,2,1,0
5,44,1,0,0,0,0,0,0,0
6,41,1,1,0,0,0,14,1,1
7,43,1,0,0,0,0,3,1,0
8,39,0,1,0,0,0,0,0,0
9,21,1,1,0,0,0,1,1,1
10,27,1,1,0,0,0,0,1,0
11,23,1,0,0,0,0,3,0,1
12,37,0,1,0,0,0,0,0,0
13,41,1,0,0,0,0,0,1,0
14,47,0,1,0,0,0,1,1,1
15,31,1,0,0,0,0,7,1,1
16,37,1,0,0,0,0,0,0,0
17,25,1,0,0,0,0,3,1,0
18,31,1,1,0,0,0,6,1,1
19,31,1,1,0,0,0,5,1,1
20,64,1,0,0,0,0,13,1,1
21,21,1,0,0,0,0,1,1,1
22,27,1,1,0,0,0,0,0,1
23,21,0,1,0,0,0,0,1,0
24,24,1,0,0,0,0,1,1,1
25,43,1,1,0,0,0,1,0,0
26,32,1,0,0,0,0,0,0,0
27,27,1,0,0,0,0,8,1,1
28,36,0,1,0,0,0,3,1,0
29,26,1,0,0,0,1,5,1,1
30,33,1,0,0,0,0,0,1,1
31,30,1,1,0,0,0,9,1,1
32,32,1,0,0,0,0,4,1,1
33,55,1,1,0,0,0,0,1,0
34,49,1,0,0,0,0,7,1,1
35,26,1,1,0,0,2,6,0,0
36,33,0,1,0,0,0,4,0,1
37,24,1,1,0,0,0,1,0,1
38,34,1,0,1,2,3,21,1,1
39,29,1,1,0,0,0,0,0,0
40,21,0,0,0,0,0,2,1,0
41,51,1,0,0,0,0,2,0,0
42,29,1,1,0,0,0,2,0,1
43,51,0,0,0,0,0,7,1,0
44,29,1,0,0,0,0,0,1,1
45,25,1,1,0,0,0,9,0,1
46,35,1,0,0,1,4,13,1,1
47,49,1,1,0,0,0,0,0,0
48,34,1,0,0,0,0,4,0,1
49,29,1,0,0,0,0,0,1,0
50,29,1,1,0,0,0,1,1,1
51,28,0,0,0,0,0,0,1,0
52,48,1,1,0,0,0,20,1,1
53,63,0,0,0,0,0,1,1,0
54,31,1,0,0,0,1,15,1,0
55,24,1,0,0,0,0,2,1,1
56,30,1,0,0,0,0,0,0,0
57,49,1,0,0,0,0,4,0,0
58,53,1,1,0,0,0,8,1,0
59,35,1,0,0,0,0,5,1,0
60,63,1,0,0,0,0,10,0,1
61,27,1,0,1,1,2,15,1,1
62,38,1,1,0,0,0,4,0,1
63,22,1,0,0,0,1,1,1,1
64,22,1,0,1,0,2,2,1,1
65,29,1,0,0,0,0,4,1,1
66,62,1,0,0,0,0,0,0,0
67,27,1,0,1,0,0,6,1,1
68,33,1,0,0,0,0,0,0,0
69,56,0,0,0,0,0,0,0,0
70,45,1,0,0,0,0,6,1,1
71,22,1,0,0,0,0,1,1,0
72,39,1,0,0,0,0,1,0,0
73,29,1,0,0,0,0,5,1,1
74,27,1,1,0,0,1,1,1,1
75,40,1,0,0,0,0,2,1,0
